number,title,url,difficulty,acceptance,likes,popularity
45,Jump Game II,https://leetcode.com/problems/jump-game-ii,Medium,34.062676580227894,5436,25.76303317535545
99,Recover Binary Search Tree,https://leetcode.com/problems/recover-binary-search-tree,Medium,44.21752272757536,3040,25.54621848739496
1162,As Far from Land as Possible,https://leetcode.com/problems/as-far-from-land-as-possible,Medium,46.62314526676589,1122,25.5
704,Binary Search,https://leetcode.com/problems/binary-search,Easy,55.00023351432135,1778,25.4
977,Squares of a Sorted Array,https://leetcode.com/problems/squares-of-a-sorted-array,Easy,71.43340534631302,3021,25.386554621848735
494,Target Sum,https://leetcode.com/problems/target-sum,Medium,45.40105783545121,4983,25.294416243654823
79,Word Search,https://leetcode.com/problems/word-search,Medium,38.24245388827332,6624,25.282442748091604
310,Minimum Height Trees,https://leetcode.com/problems/minimum-height-trees,Medium,35.588882446696246,3613,25.265734265734267
146,LRU Cache,https://leetcode.com/problems/lru-cache,Medium,37.73351744609132,9744,25.243523316062177
20,Valid Parentheses,https://leetcode.com/problems/valid-parentheses,Easy,40.28682629877077,8699,25.214492753623187
22,Generate Parentheses,https://leetcode.com/problems/generate-parentheses,Medium,67.6061378168717,9435,25.16
121,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Easy,52.45257277536336,10316,24.917874396135264
210,Course Schedule II,https://leetcode.com/problems/course-schedule-ii,Medium,44.22947611743358,4578,24.880434782608692
787,Cheapest Flights Within K Stops,https://leetcode.com/problems/cheapest-flights-within-k-stops,Medium,37.38405623626194,3600,24.82758620689655
145,Binary Tree Postorder Traversal,https://leetcode.com/problems/binary-tree-postorder-traversal,Easy,60.10470717513056,3003,24.818181818181817
559,Maximum Depth of N-ary Tree,https://leetcode.com/problems/maximum-depth-of-n-ary-tree,Easy,70.17768598298818,1583,24.734375
797,All Paths From Source to Target,https://leetcode.com/problems/all-paths-from-source-to-target,Medium,79.1610251333343,2532,24.58252427184466
763,Partition Labels,https://leetcode.com/problems/partition-labels,Medium,78.27541669914156,5254,24.55140186915888
207,Course Schedule,https://leetcode.com/problems/course-schedule,Medium,44.56041961926891,6900,24.125874125874127
376,Wiggle Subsequence,https://leetcode.com/problems/wiggle-subsequence,Medium,42.95660894462052,2016,24.0
896,Monotonic Array,https://leetcode.com/problems/monotonic-array,Easy,57.9784535393508,1150,23.95833333333333
62,Unique Paths,https://leetcode.com/problems/unique-paths,Medium,57.46243057228146,6143,23.90272373540856
211,Design Add and Search Words Data Structure,https://leetcode.com/problems/design-add-and-search-words-data-structure,Medium,41.870098131570586,3366,23.872340425531917
617,Merge Two Binary Trees,https://leetcode.com/problems/merge-two-binary-trees,Easy,76.30401135504486,4945,23.660287081339717
402,Remove K Digits,https://leetcode.com/problems/remove-k-digits,Medium,28.83273758898993,3797,23.58385093167702
115,Distinct Subsequences,https://leetcode.com/problems/distinct-subsequences,Hard,40.67739448834072,2393,23.46078431372549
143,Reorder List,https://leetcode.com/problems/reorder-list,Medium,43.114605820137726,3761,23.36024844720497
94,Binary Tree Inorder Traversal,https://leetcode.com/problems/binary-tree-inorder-traversal,Easy,67.97984048058525,5511,23.253164556962027
