number,title,url,difficulty,likes,dislikes,accepted,submissions,acceptance,popularity
123,Best Time to Buy and Sell Stock III,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii,Hard,4251,95,314394,763836,41.15988248786388,44.747368421052634
1092,Shortest Common Supersequence,https://leetcode.com/problems/shortest-common-supersequence,Hard,1428,32,31192,57041,54.68347329114146,44.625
104,Maximum Depth of Binary Tree,https://leetcode.com/problems/maximum-depth-of-binary-tree,Easy,4623,104,1254436,1804231,69.52746072980676,44.45192307692308
407,Trapping Rain Water II,https://leetcode.com/problems/trapping-rain-water-ii,Hard,2129,48,57473,126671,45.371868857118045,44.354166666666664
1771,Maximize Palindrome Length From Subsequences,https://leetcode.com/problems/maximize-palindrome-length-from-subsequences,Hard,265,6,6035,17545,34.39726417782844,44.166666666666664
1365,How Many Numbers Are Smaller Than the Current Number,https://leetcode.com/problems/how-many-numbers-are-smaller-than-the-current-number,Easy,2110,48,237037,275767,85.95553492622395,43.958333333333336
47,Permutations II,https://leetcode.com/problems/permutations-ii,Medium,3559,81,495755,965904,51.325494044956855,43.93827160493827
1955,Count Number of Special Subsequences,https://leetcode.com/problems/count-number-of-special-subsequences,Hard,263,6,5453,11062,49.29488338455975,43.833333333333336
1641,Count Sorted Vowel Strings,https://leetcode.com/problems/count-sorted-vowel-strings,Medium,1314,30,65222,86989,74.97729597995149,43.8
221,Maximal Square,https://leetcode.com/problems/maximal-square,Medium,5255,120,387426,950949,40.74098610966519,43.791666666666664
1482,Minimum Number of Days to Make m Bouquets,https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets,Medium,1115,26,26334,49762,52.9198987178972,42.88461538461539
1514,Path with Maximum Probability,https://leetcode.com/problems/path-with-maximum-probability,Medium,769,18,26550,61258,43.34127787391034,42.72222222222222
129,Sum Root to Leaf Numbers,https://leetcode.com/problems/sum-root-to-leaf-numbers,Medium,2772,65,357993,675743,52.97768530343636,42.646153846153844
862,Shortest Subarray with Sum at Least K,https://leetcode.com/problems/shortest-subarray-with-sum-at-least-k,Hard,2161,51,53595,208714,25.67867991605738,42.372549019607845
1758,Minimum Changes To Make Alternating Binary String,https://leetcode.com/problems/minimum-changes-to-make-alternating-binary-string,Easy,294,7,20926,35579,58.815593468057,42.0
1775,Equal Sum Arrays With Minimum Number of Operations,https://leetcode.com/problems/equal-sum-arrays-with-minimum-number-of-operations,Medium,335,8,9879,19467,50.74741870858376,41.875
1542,Find Longest Awesome Substring,https://leetcode.com/problems/find-longest-awesome-substring,Hard,417,10,7140,18326,38.961038961038966,41.7
39,Combination Sum,https://leetcode.com/problems/combination-sum,Medium,7148,172,810914,1316778,61.58319777517547,41.55813953488372
1011,Capacity To Ship Packages Within D Days,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,Medium,2648,64,87830,143707,61.1174125129604,41.375
718,Maximum Length of Repeated Subarray,https://leetcode.com/problems/maximum-length-of-repeated-subarray,Medium,2894,70,134552,263537,51.0562084261413,41.34285714285714
105,Construct Binary Tree from Preorder and Inorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,Medium,6298,153,564192,1031833,54.67861562869185,41.16339869281046
886,Possible Bipartition,https://leetcode.com/problems/possible-bipartition,Medium,1714,42,85153,184593,46.13013494552881,40.80952380952381
827,Making A Large Island,https://leetcode.com/problems/making-a-large-island,Hard,1587,39,65612,147710,44.41947058425293,40.69230769230769
1248,Count Number of Nice Subarrays,https://leetcode.com/problems/count-number-of-nice-subarrays,Medium,1138,28,37032,64754,57.188745096828,40.642857142857146
960,Delete Columns to Make Sorted III,https://leetcode.com/problems/delete-columns-to-make-sorted-iii,Hard,362,9,9052,16216,55.82141095214603,40.22222222222222
1816,Truncate Sentence,https://leetcode.com/problems/truncate-sentence,Easy,280,7,35855,44553,80.47718447691513,40.0
1947,Maximum Compatibility Score Sum,https://leetcode.com/problems/maximum-compatibility-score-sum,Medium,280,7,9574,16779,57.059419512485846,40.0
1074,Number of Submatrices That Sum to Target,https://leetcode.com/problems/number-of-submatrices-that-sum-to-target,Hard,1304,33,41928,63908,65.60680978907179,39.515151515151516
198,House Robber,https://leetcode.com/problems/house-robber,Medium,8068,205,788284,1785379,44.15219401594844,39.35609756097561
1046,Last Stone Weight,https://leetcode.com/problems/last-stone-weight,Easy,1608,41,184612,294972,62.58627937566955,39.21951219512195
100,Same Tree,https://leetcode.com/problems/same-tree,Easy,3890,100,798074,1459760,54.67158985038636,38.9
1254,Number of Closed Islands,https://leetcode.com/problems/number-of-closed-islands,Medium,1128,29,57503,92068,62.4570969283573,38.89655172413793
986,Interval List Intersections,https://leetcode.com/problems/interval-list-intersections,Medium,2679,69,205146,296374,69.21862241627133,38.82608695652174
101,Symmetric Tree,https://leetcode.com/problems/symmetric-tree,Easy,7090,183,980810,1976052,49.634827423569824,38.743169398907106
1420,Build Array Where You Can Find The Maximum Exactly K Comparisons,https://leetcode.com/problems/build-array-where-you-can-find-the-maximum-exactly-k-comparisons,Hard,348,9,8337,12909,64.5828491749942,38.666666666666664
678,Valid Parenthesis String,https://leetcode.com/problems/valid-parenthesis-string,Medium,2659,69,142813,443672,32.18886925476478,38.53623188405797
354,Russian Doll Envelopes,https://leetcode.com/problems/russian-doll-envelopes,Hard,2422,63,116679,300074,38.88340875917274,38.44444444444444
1745,Palindrome Partitioning IV,https://leetcode.com/problems/palindrome-partitioning-iv,Hard,345,9,11145,22373,49.81450855942431,38.333333333333336
1832,Check if the Sentence Is Pangram,https://leetcode.com/problems/check-if-the-sentence-is-pangram,Easy,344,9,47206,57548,82.02891499270174,38.22222222222222
1664,Ways to Make a Fair Array,https://leetcode.com/problems/ways-to-make-a-fair-array,Medium,600,16,18432,29637,62.19252960825995,37.5
1306,Jump Game III,https://leetcode.com/problems/jump-game-iii,Medium,1574,42,87486,142026,61.59858054159098,37.476190476190474
113,Path Sum II,https://leetcode.com/problems/path-sum-ii,Medium,3547,95,480137,929705,51.64401611263788,37.33684210526316
132,Palindrome Partitioning II,https://leetcode.com/problems/palindrome-partitioning-ii,Hard,2533,68,182395,558487,32.658772719866356,37.25
1466,Reorder Routes to Make All Paths Lead to the City Zero,https://leetcode.com/problems/reorder-routes-to-make-all-paths-lead-to-the-city-zero,Medium,922,25,36797,59783,61.55094257564859,36.88
200,Number of Islands,https://leetcode.com/problems/number-of-islands,Medium,9840,267,1172684,2294001,51.11959410654136,36.853932584269664
962,Maximum Width Ramp,https://leetcode.com/problems/maximum-width-ramp,Medium,883,24,28045,59451,47.173302383475466,36.791666666666664
322,Coin Change,https://leetcode.com/problems/coin-change,Medium,8111,222,728238,1887060,38.59114177609615,36.53603603603604
876,Middle of the Linked List,https://leetcode.com/problems/middle-of-the-linked-list,Easy,3030,83,376528,538951,69.86312299262826,36.506024096385545
714,Best Time to Buy and Sell Stock with Transaction Fee,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee,Medium,2903,80,121511,205569,59.10959337254158,36.2875
1691,Maximum Height by Stacking Cuboids,https://leetcode.com/problems/maximum-height-by-stacking-cuboids,Hard,288,8,6021,11741,51.281832893279955,36.0
773,Sliding Puzzle,https://leetcode.com/problems/sliding-puzzle,Hard,1143,32,58910,94929,62.05690568740848,35.71875
109,Convert Sorted List to Binary Search Tree,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree,Medium,3671,103,328453,617278,53.20989894342581,35.640776699029125
1446,Consecutive Characters,https://leetcode.com/problems/consecutive-characters,Easy,640,18,77877,127366,61.14426141984517,35.55555555555556
1110,Delete Nodes And Return Forest,https://leetcode.com/problems/delete-nodes-and-return-forest,Medium,2130,60,117874,172214,68.44623549769473,35.5
739,Daily Temperatures,https://leetcode.com/problems/daily-temperatures,Medium,4896,139,277323,421864,65.73753626761231,35.223021582733814
815,Bus Routes,https://leetcode.com/problems/bus-routes,Hard,1335,38,56538,127871,44.21487280149526,35.13157894736842
1416,Restore The Array,https://leetcode.com/problems/restore-the-array,Hard,281,8,10291,27657,37.2093864121199,35.125
1685,Sum of Absolute Differences in a Sorted Array,https://leetcode.com/problems/sum-of-absolute-differences-in-a-sorted-array,Medium,455,13,14130,22052,64.07582078723019,35.0
1525,Number of Good Ways to Split a String,https://leetcode.com/problems/number-of-good-ways-to-split-a-string,Medium,767,22,39950,57201,69.84143633852555,34.86363636363637
40,Combination Sum II,https://leetcode.com/problems/combination-sum-ii,Medium,3451,99,445708,868985,51.29064368199682,34.85858585858586
695,Max Area of Island,https://leetcode.com/problems/max-area-of-island,Medium,4072,117,315618,469393,67.23960519223763,34.8034188034188
312,Burst Balloons,https://leetcode.com/problems/burst-balloons,Hard,4141,119,145311,266159,54.59556129982454,34.79831932773109
435,Non-overlapping Intervals,https://leetcode.com/problems/non-overlapping-intervals,Medium,2540,73,163053,357878,45.56105712002414,34.794520547945204
283,Move Zeroes,https://leetcode.com/problems/move-zeroes,Easy,6321,183,1230422,2081710,59.10631163802835,34.540983606557376
1748,Sum of Unique Elements,https://leetcode.com/problems/sum-of-unique-elements,Easy,448,13,47751,63865,74.7686526266343,34.46153846153846
1574,Shortest Subarray to be Removed to Make Array Sorted,https://leetcode.com/problems/shortest-subarray-to-be-removed-to-make-array-sorted,Medium,721,21,13820,40053,34.50428182657978,34.333333333333336
647,Palindromic Substrings,https://leetcode.com/problems/palindromic-substrings,Medium,4958,145,316576,499907,63.32697881806016,34.19310344827586
567,Permutation in String,https://leetcode.com/problems/permutation-in-string,Medium,2885,85,209389,468406,44.70245897789524,33.94117647058823
540,Single Element in a Sorted Array,https://leetcode.com/problems/single-element-in-a-sorted-array,Medium,3048,90,208471,359214,58.03532156319074,33.86666666666667
1187,Make Array Strictly Increasing,https://leetcode.com/problems/make-array-strictly-increasing,Hard,474,14,9708,22185,43.75929682217715,33.857142857142854
1094,Car Pooling,https://leetcode.com/problems/car-pooling,Medium,1489,44,81846,137413,59.5620501699257,33.84090909090909
1653,Minimum Deletions to Make String Balanced,https://leetcode.com/problems/minimum-deletions-to-make-string-balanced,Medium,436,13,11761,22071,53.2871188437316,33.53846153846154
70,Climbing Stairs,https://leetcode.com/problems/climbing-stairs,Easy,7799,233,1082534,2196856,49.2765115237412,33.472103004291846
856,Score of Parentheses,https://leetcode.com/problems/score-of-parentheses,Medium,2543,76,82556,126570,65.22556687998737,33.46052631578947
315,Count of Smaller Numbers After Self,https://leetcode.com/problems/count-of-smaller-numbers-after-self,Hard,4416,132,197721,470405,42.03207874065964,33.45454545454545
1415,The k-th Lexicographical String of All Happy Strings of Length n,https://leetcode.com/problems/the-k-th-lexicographical-string-of-all-happy-strings-of-length-n,Medium,501,15,20952,29705,70.53358020535264,33.4
1722,Minimize Hamming Distance After Swap Operations,https://leetcode.com/problems/minimize-hamming-distance-after-swap-operations,Medium,434,13,9464,20428,46.32856863129039,33.38461538461539
630,Course Schedule III,https://leetcode.com/problems/course-schedule-iii,Hard,1559,47,48215,137379,35.09633932405972,33.170212765957444
1559,Detect Cycles in 2D Grid,https://leetcode.com/problems/detect-cycles-in-2d-grid,Hard,363,11,12529,27382,45.756336279307575,33.0
926,Flip String to Monotone Increasing,https://leetcode.com/problems/flip-string-to-monotone-increasing,Medium,1343,41,56834,100634,56.47594252439533,32.75609756097561
1859,Sorting the Sentence,https://leetcode.com/problems/sorting-the-sentence,Easy,392,12,28929,34746,83.2585045760663,32.666666666666664
1219,Path with Maximum Gold,https://leetcode.com/problems/path-with-maximum-gold,Medium,1369,42,64591,97742,66.083157700886,32.595238095238095
131,Palindrome Partitioning,https://leetcode.com/problems/palindrome-partitioning,Medium,4328,133,347189,631991,54.93575066733545,32.54135338345865
1647,Minimum Deletions to Make Character Frequencies Unique,https://leetcode.com/problems/minimum-deletions-to-make-character-frequencies-unique,Medium,680,21,44102,79147,55.72163190013519,32.38095238095238
51,N-Queens,https://leetcode.com/problems/n-queens,Hard,3950,122,295054,550503,53.59716477476054,32.377049180327866
1556,Thousand Separator,https://leetcode.com/problems/thousand-separator,Easy,259,8,26644,46760,56.9803250641574,32.375
979,Distribute Coins in Binary Tree,https://leetcode.com/problems/distribute-coins-in-binary-tree,Medium,2841,88,65390,92820,70.44817927170868,32.28409090909091
152,Maximum Product Subarray,https://leetcode.com/problems/maximum-product-subarray,Medium,7949,249,532325,1595674,33.360510981566414,31.923694779116467
1262,Greatest Sum Divisible by Three,https://leetcode.com/problems/greatest-sum-divisible-by-three,Medium,893,28,31770,62877,50.527219810105436,31.892857142857142
